reaction,left_comp,right_comp,left_smiles,right_smiles
MNXR182679,MNXM10//MNXM232,COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC//NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.COC1=C(OC)C(=O)C(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)=C(C)C1=O,COc1c(O)c(C)c(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c(O)c1OC.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
MNXR152111,MNXM722745//MNXM729100//WATER,O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21//Cc1cc2c(cc1C)N([*])c1[nH]c(=O)[nH]c(=O)c1N2//O=O,O=C1c2ccc(O)cc2O[C@@H](O)[C@@H]1c1ccc(O)cc1.Cc1cc2nc3c(=O)[n-]c(=O)nc-3n([*])c2cc1C.[H]O[H],O=C1C[C@@H](c2ccc(O)cc2)Oc2cc(O)ccc21.Cc1cc2c(cc1C)N([*])c1[nH]c(=O)[nH]c(=O)c1N2.O=O
MNXR151559,MNXM159//MNXM1705,Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])[O-])c2C)c(N)n1//CC[C@](O)(C(C)=O)C(=O)[O-],CCC(=O)C(=O)[O-].Cc1ncc(C[n+]2c(C(C)O)sc(CCOP(=O)([O-])OP(=O)([O-])[O-])c2C)c(N)n1,Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])[O-])c2C)c(N)n1.CC[C@](O)(C(C)=O)C(=O)[O-]
MNXR119210,MNXM36//MNXM479//MNXM729302,[NH3+]CCc1ccc(O)cc1//[H]O[H],[*].O=CCc1ccc(O)cc1.[NH4+],[NH3+]CCc1ccc(O)cc1.[H]O[H]
MNXR194957,MNXM1137307//MNXM5//WATER,CCCCc1nc(C)c(CC(=S)N(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1//O=O//NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.[H]O[H],CCCCc1nc(C)c(CC(=S)N(C)C)c(=O)n1Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1.O=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
MNXR131171,MNXM741547//WATER,[*][C@@H]1O[C@H](COP(=O)(O)O[C@@H]2[C@@H](COP(=O)(O)O[C@@H]3[C@@H](CO)O[C@@H]([*])[C@@H]3O)O[C@@H]([*])[C@@H]2O)[C@@H](OP(=O)(O)O)[C@H]1O,[*]C1OC(CO)C(OP(=O)(O)OCC2OC([*])C(O)C2OP(=O)(O)OCC2OC([*])C3OP(=O)(O)OC23)C1O.[H]O[H],[*][C@@H]1O[C@H](COP(=O)(O)O[C@@H]2[C@@H](COP(=O)(O)O[C@@H]3[C@@H](CO)O[C@@H]([*])[C@@H]3O)O[C@@H]([*])[C@@H]2O)[C@@H](OP(=O)(O)O)[C@H]1O
MNXR114299,MNXM10//MNXM1929//MNXM1,C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O//NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.C[C@H](O)[C@@H]1OC(=O)[C@H](O)[C@@H]1O.[H+],C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
MNXR131924,MNXM1101285//MNXM1105858//MNXM1,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1//OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1.O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[H+],Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1.OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
MNXR181035,MNXM1103962//MNXM735438,OO//CCCCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],CCCCCCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-].O=O,OO.CCCCCCCCCCCCCCCCC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
MNXR132613,MNXM166479//MNXM76,O=O//C[C@@H](O)[C@H](O)C1CNc2nc(N)[nH]c(=O)c2N1//[NH3+][C@@H](Cc1ccccc1)C(=O)[O-],[NH3+][C@@H](Cc1ccc(O)cc1)C(=O)[O-],O=O.C[C@@H](O)[C@H](O)C1CNc2nc(N)[nH]c(=O)c2N1.[NH3+][C@@H](Cc1ccccc1)C(=O)[O-]
