COMPOUNDS
ENTRY;GENERATION;KEGG;NAME;STRINGCODE;SPECIES;INCHIKEY;SMILES;ISBIO;FORMULA;CAR
BON;CHARGE;FILENAME;COFACTOR;DATABASE_LINKS;ENERGY;ERROR
reactionsS
ENTRY;KEGG;EQUATION;OPERATORS
165;;c377+c378+c262+c379+c379+c68<=>c119+c380+c380+c70+c70;
166;;c381+c70<=>c382+c68+c5;
167;;c383+c10+c5+c5+c5<=>c384+c13;
168;;c385<=>c320;
169;;c386+c371+c372+c11<=>c387+c374+c14+c14;
170;;c388+c5<=>c389+c19;
171;;c390+c70<=>c391+c68+c5;
172;;c392+c393<=>c394;
173;;c395+c7<=>c396+c4+c5;
174;;c397+c25+c25+c11+c11<=>c398+c27+c27+c19+c14+c14+c14+c5+c5;
175;;c399<=>c400;
176;;c401+c116+c5<=>c402+c11;
177;;c403+c66<=>c404+c64+c5;
178;;c405+c10<=>c406+c13;
179;;c407+c11<=>c408+c5;
180;;c409+c380+c380+c11+c5+c5<=>c410+c379+c379+c14;
181;;c411+c179+c44<=>c412+c73+c177+c14;
182;;c413+c19+c19+c19+c116+c116+c116+c116<=>c414+c124+c124+c124+c5+c5+c5;
183;;c415+c118<=>c416+c14;
184;;c300+c139+c44<=>c417+c301+c52;
185;;c418+c116<=>c419+c114;
186;;c420+c380+c380+c19+c5<=>c421+c379+c379+c116;
187;;c316+c52<=>c252+c53+c5;
188;;c386+c371+c372+c11<=>c422+c374+c14+c14;
189;;c423+c98+c5<=>c424+c44;
190;;c247+c126<=>c425+c128;
191;;c426+c64+c5<=>c142+c66;
192;;c427+c136+c136+c11+c5+c5<=>c428+c138+c138+c14+c14;
193;;c429+c430<=>c431+c432;
194;;c433+c434+c5<=>c435+c14;
195;;c436+c437+c66+c14<=>c438+c64+c11+c5;
196;;c439+c18<=>c440+c110;
197;;c441+c13<=>c442+c10+c5;
198;;c443+c13+c116<=>c326+c114+c10+c5;
199;;c444+c13<=>c141+c10+c5;
200;;c445+c61+c5<=>c446+c14;
201;;c447+c448<=>c449+c450;
202;;c451+c393<=>c452+c155;
203;;c453+c5<=>c454;
204;;c455+c44+c44<=>c185+c185+c73;
205;;c456+c70<=>c457+c68+c5;
206;;c458+c10+c5<=>c459+c13;
207;;c460+c48<=>c461+c100;
208;;c462+c53+c5<=>c463+c52;
209;;c436+c70<=>c438+c68+c5;
210;;c464<=>c465;
211;;c466+c18<=>c467+c14;
212;;c468+c11<=>c469+c5+c5;
213;;c470+c10+c5<=>c471+c118+c13;
214;;c472+c25+c11<=>c473+c27+c14+c5;
215;;c474+c66+c14<=>c475+c64+c5;
216;;c476+c339+c339<=>c477+c340+c14;
217;;c478<=>c343+c14;
218;;c479+c13<=>c480+c10+c5;
219;;c481+c95+c46+c19<=>c482+c48+c11;
220;;c483<=>c484;
221;;c485+c379+c379+c379+c379+c379+c379+c14+c14+c14+c14<=>c486+c380+c380+c380+c380+c380+c380+c11+c11+c11+c5+c5+c5+c5+c5;
222;;c273+c66+c14<=>c214+c64+c11;
223;;c487+c18+c5<=>c488+c14;
224;;c489+c262+c5<=>c353+c490;
225;;c491+c70<=>c492+c68+c5;
226;;c425+c14<=>c247+c18;
227;;c276+c19<=>c493+c5;
228;;c494+c14<=>c345+c282+c5;
229;;c495+c496+c52+c14<=>c497+c100+c53+c18+c5;
230;;c498+c499<=>c500+c501;
231;;c502+c379+c379+c14<=>c503+c380+c380+c11+c5+c5;
232;;c504+c64+c64+c5+c5<=>c505+c66+c66;
233;;c491+c13<=>c506+c416+c5;
234;;c507+c14<=>c357+c242;
235;;c508+c128<=>c509+c126;
236;;c510+c10+c5<=>c511+c13;
237;;c512+c513+c5<=>c514+c97;
238;;c515+c515<=>c516+c14+c14;
239;;c517+c518<=>c519+c165+c5;
240;;c520+c521+c521+c5+c5<=>c522+c522+c523;
241;;c524<=>c525;
242;;c526+c53+c18+c5<=>c527+c528+c52;
243;;c529+c202+c5<=>c530+c531;
244;;c532+c139+c44<=>c363+c432+c52;
245;;c380+c380+c66+c5<=>c379+c379+c64;
246;;c533<=>c534;
247;;c535+c25+c11<=>c536+c27+c14+c5;
248;;c537+c92<=>c538;
249;;c539+c540<=>c541+c61+c5;
250;;c97+c165+c5<=>c542+c18;
251;;c543+c14<=>c544+c18+c5;
252;;c545+c66+c116<=>c546+c64+c5;
253;;c547+c547+c89<=>c548+c548+c14+c14;
254;;c549+c10+c5<=>c550+c13;
255;;c551+c66+c5<=>c552+c64;
256;;c391+c68+c5<=>c390+c70;
257;;c553+c416+c5<=>c491+c13;
258;;c554+c157<=>c555+c4+c5;
259;;c556+c64+c5<=>c557+c66;
260;;c558+c11+c14<=>c141+c225+c89;
261;;c171+c559+c179+c70+c70<=>c560+c561+c378+c262+c177+c68+c5+c5;
262;;c4+c53<=>c35+c52;
263;;c562+c11<=>c195+c19;
264;;c563+c10+c5<=>c564+c13;
265;;c380+c380+c565+c11+c5+c5<=>c566+c379+c379+c14;
266;;c567+c196<=>c568+c569;
267;;c570+c10+c5<=>c571+c13;
268;;c572+c11+c14<=>c573+c574+c89;
269;;c575+c46+c19<=>c576+c48+c11;
270;;c577+c48+c11<=>c578+c46+c19;
271;;c579+c4+c5<=>c580+c7;
272;;c581<=>c582;
273;;c583+c584<=>c585+c14;
274;;c300+c139+c44<=>c301+c417+c52;
275;;c586+c587+c5<=>c588+c19+c44;
276;;c345+c52<=>c589+c53+c5;
277;;c590+c10+c11+c5<=>c12+c13+c14;
278;;c591+c591+c14+c14<=>c592+c592+c11;
279;;c10+c11+c5<=>c89+c13;
280;;c77+c10+c5<=>c593+c13;
281;;c594+c161<=>c595+c163+c5;
282;;c596+c596+c597<=>c598+c33+c33;
283;;c599+c44<=>c600;
284;;c61+c77<=>c601;
285;;c602<=>c603+c14;
286;;c604+c44<=>c73+c14;
287;;c605+c118<=>c606+c14+c14;
288;;c312+c10+c5+c5<=>c199+c13+c14;
289;;c607+c64+c11+c5<=>c608+c66+c14;
290;;c609+c70<=>c41+c68+c5;
