seed,method,mcc,ppv,recall,coverage,n_reactions
5,E-zyme2,0.4503756374224566,0.5400198608872128,0.4161735700197239,0.6814516129032258,496
5,MajorityVote,0.8015927334967771,0.8100543693515768,0.8205128205128205,1.0,496
5,MajorityVoteCore4,0.8147756308933718,0.8042549252460143,0.8441814595660749,1.0,496
6,BEC-Pred,0.833454899215381,0.8522958564254051,0.8373493975903614,1.0,493
6,SelenzymeRF,0.6464805763138723,0.6829300246371147,0.6526104417670683,0.9756592292089249,493
6,SIMMER,0.5519409517832836,0.5912541235743389,0.5461847389558233,0.9127789046653144,493
6,Theia,0.7937815541749034,0.8175871862722714,0.7951807228915663,0.9898580121703854,493
6,BridgIT,0.47939192854394774,0.5872918580749906,0.4357429718875502,0.7038539553752535,493
6,E-zyme1,0.47055701131268,0.5326101737958467,0.4819277108433735,0.8356997971602435,493
6,E-zyme2,0.4428295338204516,0.5601765350170737,0.39357429718875503,0.6531440162271805,493
6,MajorityVote,0.8333758206832012,0.8409859701447983,0.8473895582329317,1.0,493
6,MajorityVoteCore4,0.8460576280380181,0.8454025166541714,0.8634538152610441,1.0,493
7,BEC-Pred,0.7931750273513783,0.7981171411641841,0.8043912175648703,1.0,494
7,SelenzymeRF,0.6410775771909205,0.6817213609654305,0.6427145708582834,0.9898785425101214,494
7,SIMMER,0.5556588679518208,0.597376662820825,0.5528942115768463,0.9271255060728745,494
7,Theia,0.8265375661382295,0.8392106449700241,0.8323353293413174,0.9939271255060729,494
7,BridgIT,0.4649351925951092,0.569821767416644,0.4311377245508982,0.7064777327935222,494
7,E-zyme1,0.49680820910791074,0.5692940509971558,0.499001996007984,0.8502024291497976,494
7,E-zyme2,0.44519135172956253,0.5562531225704879,0.3992015968063872,0.6659919028340081,494
7,MajorityVote,0.8134446388828854,0.8137044730607605,0.8303393213572854,1.0,494
7,MajorityVoteCore4,0.8060806718477792,0.7944484876535156,0.8343313373253493,1.0,494
8,BEC-Pred,0.8038430939475056,0.8104123441760464,0.8148893360160966,1.0,489
8,SelenzymeRF,0.6862347612065638,0.7136883030266863,0.6941649899396378,0.9979550102249489,489
8,SIMMER,0.5758566026988053,0.6200407071432535,0.5694164989939637,0.918200408997955,489
8,Theia,0.8197250581639902,0.8550159985836977,0.8128772635814889,0.9959100204498977,489
8,BridgIT,0.4953305962802625,0.6119217058766118,0.4507042253521127,0.7198364008179959,489
8,E-zyme1,0.5019267414943844,0.5735769299921879,0.5050301810865191,0.8548057259713702,489
8,E-zyme2,0.44298544798065587,0.511764283999164,0.4164989939637827,0.6748466257668712,489
8,MajorityVote,0.8456138448686488,0.8538983110234146,0.8531187122736419,1.0,489
8,MajorityVoteCore4,0.8264487179043185,0.8250337059542291,0.8450704225352113,1.0,489
9,BEC-Pred,0.7918032027093348,0.7971210963956913,0.8028169014084507,1.0,491
9,SelenzymeRF,0.677805737790501,0.701973197269978,0.6881287726358148,0.9979633401221996,491
9,SIMMER,0.5787145247468443,0.6232984105893659,0.5714285714285714,0.9083503054989817,491
9,Theia,0.8019055774074622,0.8275485599454722,0.806841046277666,0.9959266802443992,491
9,BridgIT,0.49022216287048337,0.5574477931295305,0.47283702213279677,0.7678207739307535,491
9,E-zyme1,0.5247030841061078,0.5723352256114044,0.5352112676056338,0.8594704684317719,491
9,E-zyme2,0.4568701510852394,0.5593594774265003,0.4164989939637827,0.6904276985743381,491
9,MajorityVote,0.8155934893701097,0.8125357549697708,0.8370221327967807,1.0,491
9,MajorityVoteCore4,0.8246433506533059,0.8198104123657444,0.8470824949698189,1.0,491
