reaction_id,true_ec,true_class,BEC-Pred_correct,CLAIRE_correct,SelenzymeRF_correct,SIMMER_correct,Theia_correct,BridgIT_correct,E-zyme1_correct,E-zyme2_correct,MajorityVote_correct,MajorityVoteCore4_correct,n_methods_correct
R02907,4.2.1.94,4,True,True,True,True,True,False,True,False,True,True,8
R08199,4.2.3.27,4,True,False,True,False,True,True,True,True,True,True,8
R04930,4.4.1.1,4,True,True,True,True,True,True,False,False,True,True,8
R00896,2.6.1.1,2,True,False,True,True,True,True,True,False,True,True,8
R00223,4.3.1.15,4,True,False,True,True,True,True,True,False,True,True,8
R06342,1.14.11.13,1,True,True,True,False,True,False,True,True,True,True,8
R12364,4.2.3.202,4,True,True,True,True,True,False,False,True,True,True,8
R01192,2.4.1.123,2,True,False,True,True,False,True,True,True,True,True,8
R11830,4.2.3.165,4,True,True,True,True,True,False,False,True,True,True,8
R03636,1.1.1.219,1,True,True,True,True,True,False,True,False,True,True,8
R00278,1.4.3.5,1,True,False,True,True,True,True,False,True,True,True,8
R11339,1.1.1.401,1,True,False,True,True,True,False,True,True,True,True,8
R00301,1.1.1.119,1,True,True,True,True,True,False,True,False,True,True,8
R02010,4.2.3.113,4,True,False,True,True,True,False,True,True,True,True,8
R07942,1.17.3.2,1,True,True,True,False,True,False,True,True,True,True,8
R02657,1.2.3.1,1,True,False,True,True,True,True,False,True,True,True,8
R00617,2.7.4.16,2,True,True,True,True,True,True,False,False,True,True,8
R05389,5.3.2.6,5,True,True,False,True,True,False,True,True,True,True,8
R07673,5.1.3.-,5,True,True,False,True,True,False,True,True,True,True,8
R07924,2.3.1.-,2,True,True,False,False,True,True,True,True,True,True,8
R10292,2.4.2.51,2,True,True,True,True,True,False,False,True,True,True,8
R09953,1.1.1.370,1,True,True,True,True,True,False,True,False,True,True,8
R07144,1.1.1.287,1,True,True,True,True,True,False,True,False,True,True,8
R06437,5.1.3.27,5,True,True,True,True,True,False,False,True,True,True,8
R05452,6.2.1.-,6,True,False,True,True,True,True,False,True,True,True,8
R01016,4.2.3.3,4,True,False,True,False,True,True,True,True,True,True,8
R02076,1.13.11.30,1,True,True,False,True,True,False,True,True,True,True,8
R07939,1.14.13.179|1.14.14.1,1,True,True,True,True,True,True,False,False,True,True,8
R11532,3.5.99.11,3,True,True,True,True,True,True,False,False,True,True,8
R07300,3.5.1.48,3,True,True,True,False,True,True,True,False,True,True,8
R12208,3.2.1.182,3,True,True,True,True,True,True,False,False,True,True,8
R05788,3.2.1.149,3,True,True,True,True,False,False,True,True,True,True,8
R05809,2.1.1.131,2,True,True,True,False,True,True,True,False,True,True,8
R08603,3.7.1.22,3,True,True,True,False,True,False,True,True,True,True,8
R03339,1.1.1.237,1,True,True,True,True,True,False,True,False,True,True,8
R03352,3.1.2.4,3,True,True,False,True,True,True,False,True,True,True,8
R02457,1.4.3.3,1,True,True,True,False,True,True,False,True,True,True,8
R10347,3.5.3.24,3,True,True,False,True,True,True,True,True,True,True,9
R08547,2.1.1.106,2,True,True,True,True,True,True,True,False,True,True,9
R10586,2.1.1.290,2,True,True,True,True,True,True,True,False,True,True,9
R12671,3.5.1.136,3,True,True,True,True,True,True,False,True,True,True,9
R10451,2.1.1.277,2,True,True,True,True,True,True,True,False,True,True,9
R09720,4.2.1.114,4,True,True,True,True,True,False,True,True,True,True,9
R02505,2.3.1.146,2,True,True,True,True,True,True,True,False,True,True,9
R10408,4.3.1.29,4,True,True,True,True,True,True,True,False,True,True,9
R11704,2.4.1.346,2,True,True,True,True,True,False,True,True,True,True,9
R02297,2.4.2.1,2,True,False,True,True,True,True,True,True,True,True,9
R05532,2.1.1.254,2,True,True,True,True,True,True,True,False,True,True,9
R06451,2.4.1.317,2,True,False,True,True,True,True,True,True,True,True,9
R11595,2.1.1.337,2,True,True,True,True,True,True,True,False,True,True,9
R06801,2.3.1.171,2,True,True,True,True,True,True,True,False,True,True,9
R11440,3.1.3.103,3,True,True,True,True,True,True,False,True,True,True,9
R07524,2.1.1.210,2,True,True,True,True,True,True,True,False,True,True,9
R10435,2.4.1.306,2,True,True,True,True,False,True,True,True,True,True,9
R10259,2.4.1.300,2,True,True,True,True,True,False,True,True,True,True,9
R04338,2.6.1.75,2,True,False,True,True,True,True,True,True,True,True,9
R03423,3.1.4.16,3,True,True,True,True,True,False,True,True,True,True,9
R06866,4.1.1.130,4,True,True,True,False,True,True,True,True,True,True,9
R08973,2.1.1.241,2,True,True,True,True,True,True,True,False,True,True,9
R02295,2.4.2.1,2,True,True,True,True,True,False,True,True,True,True,9
R03084,4.2.1.10,4,True,True,True,True,True,False,True,True,True,True,9
R00397,4.1.1.12,4,True,True,False,True,True,True,True,True,True,True,9
R02858,2.1.1.101,2,True,True,True,True,True,True,True,False,True,True,9
R12336,2.1.1.353,2,True,True,True,True,True,False,True,True,True,True,9
R10239,2.3.1.221,2,True,True,True,True,True,True,True,False,True,True,9
R01424,3.5.1.32,3,True,False,True,True,True,True,True,True,True,True,9
R00953,2.4.1.31,2,True,False,True,True,True,True,True,True,True,True,9
R10555,5.3.1.29,5,True,True,True,True,True,False,True,True,True,True,9
R01123,5.3.3.2,5,True,True,True,True,True,False,True,True,True,True,9
R07840,5.5.1.18,5,True,True,True,True,True,False,True,True,True,True,9
R06793,4.2.1.105,4,True,True,True,False,True,True,True,True,True,True,9
R10098,2.4.1.282,2,True,False,True,True,True,True,True,True,True,True,9
R03921,3.2.1.26,3,True,True,True,True,True,True,False,True,True,True,9
R05598,4.1.99.11,4,True,True,True,False,True,True,True,True,True,True,9
R10597,4.1.3.45,4,True,True,True,False,True,True,True,True,True,True,9
R06703,2.1.1.-,2,True,True,True,True,True,True,True,False,True,True,9
R10809,3.2.1.163,3,True,True,True,True,True,False,True,True,True,True,9
R10171,2.3.1.206,2,True,True,True,True,True,True,True,False,True,True,9
