seed,method,mcc,ppv,recall,coverage,n_reactions
2,MajorityVoteCore4,0.9054544160662025,0.9018806116722784,0.9212962962962963,1.0,215
3,BEC-Pred,0.822302273411022,0.8269824045686116,0.8362068965517241,1.0,229
3,SelenzymeRF,0.697993941056817,0.7476303720061152,0.6939655172413793,1.0,229
3,SIMMER,0.6991045363935003,0.6944214190981433,0.7327586206896551,1.0,229
3,Theia,0.8449500184342418,0.8696394362342639,0.8448275862068966,1.0,229
3,BridgIT,0.6164524521592765,0.6395720774405425,0.6293103448275862,1.0,229
3,E-zyme1,0.6674517077252695,0.6751892120463762,0.6982758620689655,1.0,229
3,E-zyme2,0.6593937872607614,0.7125373190028363,0.6594827586206896,1.0,229
3,MajorityVote,0.8819180533565295,0.8826332639957077,0.896551724137931,1.0,229
3,MajorityVoteCore4,0.8422632154492453,0.83551966786994,0.8663793103448276,1.0,229
4,BEC-Pred,0.8316807037974858,0.8438411078717201,0.8367346938775511,1.0,193
4,SelenzymeRF,0.6379812040837554,0.6778320023661637,0.6479591836734694,1.0,193
4,SIMMER,0.667953700369551,0.6795310981535471,0.6989795918367347,1.0,193
4,Theia,0.8410613319576147,0.8583668122067692,0.8469387755102041,1.0,193
4,BridgIT,0.64090315907027,0.6566472303206997,0.6632653061224489,1.0,193
4,E-zyme1,0.6432489554395153,0.6738174826580878,0.6632653061224489,1.0,193
4,E-zyme2,0.646741155296928,0.6985347985347986,0.6377551020408163,1.0,193
4,MajorityVote,0.8283235665931671,0.8362173302723436,0.8418367346938775,1.0,193
4,MajorityVoteCore4,0.8210686951838618,0.8234211137871298,0.8418367346938775,1.0,193
5,BEC-Pred,0.8334815639935056,0.8294599311548465,0.847457627118644,1.0,229
5,SelenzymeRF,0.6847931913201704,0.7273305084745763,0.690677966101695,1.0,229
5,SIMMER,0.6570877372400905,0.6962338579499596,0.6567796610169492,1.0,229
5,Theia,0.8120449563960147,0.8337500946747803,0.8177966101694916,1.0,229
5,BridgIT,0.6202813973929993,0.6964691303674354,0.6101694915254238,1.0,229
5,E-zyme1,0.6192926107848763,0.6358638536604639,0.6483050847457628,1.0,229
5,E-zyme2,0.6397813642646016,0.7018019786240126,0.6271186440677966,1.0,229
5,MajorityVote,0.8624550047915801,0.8672764519692486,0.8728813559322034,1.0,229
5,MajorityVoteCore4,0.8710332603972923,0.8730766062299687,0.885593220338983,1.0,229
6,BEC-Pred,0.8664189440242411,0.8708095101963026,0.8773584905660378,1.0,212
6,SelenzymeRF,0.7036686598410659,0.7373925356306045,0.7169811320754716,1.0,212
6,SIMMER,0.6927884853141245,0.7050314465408805,0.7216981132075472,1.0,212
6,Theia,0.8264884585701535,0.8503763793858133,0.8301886792452831,1.0,212
6,BridgIT,0.6377431010551244,0.6401660446471767,0.6650943396226415,1.0,212
6,E-zyme1,0.6461840665611197,0.676830941453583,0.6792452830188679,1.0,212
6,E-zyme2,0.6962764166850234,0.7627571054903258,0.6792452830188679,1.0,212
6,MajorityVote,0.9087851479629425,0.9111659043262819,0.9198113207547169,1.0,212
6,MajorityVoteCore4,0.8797701589409824,0.8739136297447944,0.9009433962264151,1.0,212
7,BEC-Pred,0.8518790313735338,0.8498094581054223,0.8654708520179372,1.0,222
7,SelenzymeRF,0.6758934098959217,0.7648198587660472,0.6412556053811659,1.0,222
7,SIMMER,0.6913443471988012,0.705951061892766,0.7085201793721974,1.0,222
7,Theia,0.8911353646090201,0.898454273678489,0.8968609865470852,1.0,222
7,BridgIT,0.619432237352877,0.6646934528433044,0.6367713004484304,1.0,222
7,E-zyme1,0.650030577662177,0.6954136133289583,0.6771300448430493,1.0,222
7,E-zyme2,0.667779816202711,0.7362629856120382,0.6502242152466368,1.0,222
7,MajorityVote,0.903525345983093,0.9094834745058961,0.9103139013452914,1.0,222
7,MajorityVoteCore4,0.8953496846423116,0.8893124065769805,0.9103139013452914,1.0,222
8,BEC-Pred,0.8564696840887548,0.8615374309059932,0.8658008658008658,1.0,230
8,SelenzymeRF,0.7519642699182126,0.8096172946822298,0.7316017316017316,1.0,230
8,SIMMER,0.6542932473362969,0.6748314219989097,0.670995670995671,1.0,230
8,Theia,0.8421573993550593,0.8696574589431733,0.8398268398268398,1.0,230
8,BridgIT,0.6471532099970161,0.6993700743700744,0.6320346320346321,1.0,230
8,E-zyme1,0.6927250696145271,0.7216373813776411,0.7142857142857143,1.0,230
8,E-zyme2,0.6908268219702708,0.7447483492938037,0.6796536796536796,1.0,230
8,MajorityVote,0.8999099515922185,0.905952380952381,0.9047619047619048,1.0,230
8,MajorityVoteCore4,0.89068501088542,0.8972068648871155,0.8961038961038961,1.0,230
9,BEC-Pred,0.8269739526788535,0.8305209716254133,0.8408163265306122,1.0,242
9,SelenzymeRF,0.7223277451261938,0.7703594976452118,0.710204081632653,1.0,242
9,SIMMER,0.7181369385314366,0.7270800759092918,0.7346938775510204,1.0,242
9,Theia,0.8070802375815024,0.8501198574667962,0.8040816326530612,1.0,242
9,BridgIT,0.5609185818162451,0.5572990382431323,0.6,1.0,242
9,E-zyme1,0.6940139019482362,0.7229713034639144,0.710204081632653,1.0,242
9,E-zyme2,0.6746453932971908,0.7269466248037676,0.6612244897959184,1.0,242
9,MajorityVote,0.8729548566860428,0.872110875675267,0.8857142857142857,1.0,242
9,MajorityVoteCore4,0.8937459318954531,0.897790867262656,0.9020408163265307,1.0,242
