method,n_reactions,ec_class,class_mcc,overall_mcc,overall_precision,overall_recall,total_support
SelenzymeRF2_SelenzymeRF2,951,5,0.17098557218788524,0.39856224951175745,0.44587878881477394,0.44525547445255476,959
SelenzymeRF2_SelenzymeRF2,951,6,0.27284831414477456,0.39856224951175745,0.44587878881477394,0.44525547445255476,959
CLAIRE2_CLAIRE_EC,951,1,0.29198990649508944,0.5274858479182561,0.6028518059205573,0.5109489051094891,959
CLAIRE2_CLAIRE_EC,951,2,0.6248045407227582,0.5274858479182561,0.6028518059205573,0.5109489051094891,959
CLAIRE2_CLAIRE_EC,951,3,0.64235593412618,0.5274858479182561,0.6028518059205573,0.5109489051094891,959
CLAIRE2_CLAIRE_EC,951,4,0.46845805588542777,0.5274858479182561,0.6028518059205573,0.5109489051094891,959
CLAIRE2_CLAIRE_EC,951,5,0.6012261153573588,0.5274858479182561,0.6028518059205573,0.5109489051094891,959
CLAIRE2_CLAIRE_EC,951,6,0.3585065668891858,0.5274858479182561,0.6028518059205573,0.5109489051094891,959
E-zyme1,951,1,0.3977975091552881,0.6296819802693879,0.7202310435526673,0.6402502606882169,959
E-zyme1,951,2,0.7620882577758331,0.6296819802693879,0.7202310435526673,0.6402502606882169,959
E-zyme1,951,3,0.4811834872618125,0.6296819802693879,0.7202310435526673,0.6402502606882169,959
E-zyme1,951,4,0.8670366945855597,0.6296819802693879,0.7202310435526673,0.6402502606882169,959
E-zyme1,951,5,0.9200232589601511,0.6296819802693879,0.7202310435526673,0.6402502606882169,959
E-zyme1,951,6,0.11272565986385827,0.6296819802693879,0.7202310435526673,0.6402502606882169,959
E-zyme2,951,1,0.3953783217826587,0.5797489855597017,0.5113251773667459,0.8091762252346194,959
E-zyme2,951,2,0.6232554297232394,0.5797489855597017,0.5113251773667459,0.8091762252346194,959
E-zyme2,951,3,0.7067551128353244,0.5797489855597017,0.5113251773667459,0.8091762252346194,959
E-zyme2,951,4,0.6179974321247086,0.5797489855597017,0.5113251773667459,0.8091762252346194,959
E-zyme2,951,5,0.5625926374616994,0.5797489855597017,0.5113251773667459,0.8091762252346194,959
E-zyme2,951,6,0.36152878191768656,0.5797489855597017,0.5113251773667459,0.8091762252346194,959
Theia,951,1,0.8871142303421727,0.8642007763163101,0.8873850394126354,0.8602711157455682,959
Theia,951,2,0.8421196611863402,0.8642007763163101,0.8873850394126354,0.8602711157455682,959
Theia,951,3,0.8734747749114075,0.8642007763163101,0.8873850394126354,0.8602711157455682,959
Theia,951,4,0.8753774915558084,0.8642007763163101,0.8873850394126354,0.8602711157455682,959
Theia,951,5,0.8622422578150419,0.8642007763163101,0.8873850394126354,0.8602711157455682,959
Theia,951,6,0.8453672982775938,0.8642007763163101,0.8873850394126354,0.8602711157455682,959
