reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R01505/1.3.1A1/1.3.1.28;	5-fu/1.3.1A1;	0.589812	0.777778	0.444444	0.384615	0.393939	0.47541	0.561644	0.723077	0.861538
R06784/1.3.1A1/1.3.1.87;	5-fu/1.3.1A1;	0.577836	0.777778	0.470588	0.4	0.404255	0.491525	0.546667	0.652778	0.8
R04557/1.3.1A2/1.3.1.48;	5-fu/1.3.1A1;	0.57772	1	0.642857	0.5	0.465116	0.5	0.539474	0.594937	0.682927
R04556/1.3.1A1/1.3.1.48;	5-fu/1.3.1A1;	0.57772	1	0.642857	0.5	0.465116	0.5	0.539474	0.594937	0.682927
R09213/1.3.1A1/;	5-fu/1.3.1A1;	0.576316	0.777778	0.421053	0.352941	0.365385	0.467742	0.546667	0.691176	0.918033
R06832/1.3.1A1/;	5-fu/1.3.1A1;	0.576316	0.777778	0.421053	0.352941	0.365385	0.467742	0.546667	0.691176	0.918033
R07703/1.3.1A1/1.3.1.19;	5-fu/1.3.1A1;	0.575916	0.777778	0.470588	0.384615	0.386139	0.453125	0.532468	0.712121	0.848485
R11474(r)/1.3.1A2/;	5-fu/1.3.1A1;	0.574742	1	0.6	0.464286	0.454545	0.491525	0.539474	0.602564	0.7
R05641/1.3.1A2/1.3.1.71;	5-fu/1.3.1A1;	0.570312	0.777778	0.533333	0.428571	0.44186	0.537037	0.577465	0.618421	0.636364
R06785/1.3.1A1/1.3.1.87;	5-fu/1.3.1A1;	0.562982	0.777778	0.444444	0.375	0.387755	0.467742	0.532468	0.652778	0.8
R09133/1.3.1A2/;	5-fu/1.3.1A1;	0.550251	0.777778	0.421053	0.342857	0.345455	0.439394	0.518987	0.652778	0.888889
R09132/1.3.1A1/;	5-fu/1.3.1A1;	0.550251	0.777778	0.421053	0.342857	0.345455	0.439394	0.518987	0.652778	0.888889
R01633/1.3.1A5/1.3.1.53;	5-fu/1.3.1A1;	0.543902	0.615385	0.439024	0.366197	0.380952	0.460317	0.518987	0.618421	0.794326
R03930/1.3.1A2/1.3.1.17;	5-fu/1.3.1A1;	0.543902	0.777778	0.5	0.433333	0.414141	0.447761	0.497006	0.61039	0.717949
R00732/1.3.1A3/1.3.1.43,1.3.1.79;	5-fu/1.3.1A1;	0.535585	0.615385	0.461538	0.378788	0.39	0.446154	0.488095	0.61039	0.767123
R00732/1.3.1A3/1.3.1.43,1.3.1.79;	5-fu/1.3.1A1;	0.535585	0.615385	0.461538	0.378788	0.39	0.446154	0.488095	0.61039	0.767123
R00733/1.3.1A4/1.3.1.78,1.3.1.79;	5-fu/1.3.1A1;	0.535585	0.615385	0.461538	0.378788	0.39	0.446154	0.488095	0.61039	0.767123
R00733/1.3.1A4/1.3.1.78,1.3.1.79;	5-fu/1.3.1A1;	0.535585	0.615385	0.461538	0.378788	0.39	0.446154	0.488095	0.61039	0.767123
R01728/1.3.1A3/1.3.1.12;	5-fu/1.3.1A1;	0.535585	0.615385	0.461538	0.378788	0.39	0.446154	0.488095	0.61039	0.767123
R01730/1.3.1A4/1.3.1.13;	5-fu/1.3.1A1;	0.535585	0.615385	0.461538	0.378788	0.39	0.446154	0.488095	0.61039	0.767123
R01730/1.3.1A4/1.3.1.13;	5-fu/1.3.1A1;	0.535585	0.615385	0.461538	0.378788	0.39	0.446154	0.488095	0.61039	0.767123
R01728/1.3.1A3/1.3.1.12;	5-fu/1.3.1A1;	0.535585	0.615385	0.461538	0.378788	0.39	0.446154	0.488095	0.61039	0.767123
R11927/1.3.1A2/1.3.1.113;	5-fu/1.3.1A1;	0.522248	1	0.5625	0.40625	0.384615	0.402778	0.488095	0.5875	0.674699
R05275/1.3.1A1/1.3.1.64;	5-fu/1.3.1A1;	0.518868	0.777778	0.444444	0.373134	0.364486	0.414286	0.460674	0.5875	0.788732
