reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R09528(r)/2.3.1F1(rev)/2.3.1.196;	4-asa/2.3.1D3(rev);	0.286802	0.714286	0.578947	0.352941	0.311111	0.310345	0.320513	0.15	0.166667
R09528(r)/2.3.1F1(rev)/2.3.1.196;	4-asa/2.3.1D3(rev);	0.286802	0.714286	0.578947	0.352941	0.311111	0.310345	0.320513	0.15	0.166667
R03760(r)/2.3.1F1(rev)/2.3.1.87;	4-asa/2.3.1D3(rev);	0.286307	1	0.75	0.478261	0.32	0.171429	0.134615	0.130435	0.21875
R03994/2.3.1D3/2.3.1.145;	4-asa/2.3.1D3;	0.285714	1	0.875	0.535714	0.3	0.218182	0.197368	0.179104	0.15873
R03994/2.3.1D3/2.3.1.145;	4-asa/2.3.1D3;	0.285714	1	0.875	0.535714	0.3	0.218182	0.197368	0.179104	0.15873
R02453/2.3.1D4/2.3.1.144;	4-asa/2.3.1D3;	0.285326	0.666667	0.6	0.461538	0.315789	0.277778	0.256757	0.21519	0.185714
R09255(r)/2.3.1F1(rev)/2.3.1.64;	4-asa/2.3.1D3(rev);	0.285294	1	0.75	0.52	0.34375	0.266667	0.2	0.169014	0.15942
R00989(r)/2.3.1D3(rev)/2.3.1.113;	4-asa/2.3.1D3;	0.283465	1	0.666667	0.411765	0.304348	0.274194	0.315068	0.135135	0.0967742
R00989/2.3.1D3/2.3.1.113;	4-asa/2.3.1D3(rev);	0.283465	1	0.666667	0.411765	0.304348	0.274194	0.315068	0.135135	0.0967742
R01154/2.3.1D3/2.3.1.57;	4-asa/2.3.1D3;	0.282869	1	0.857143	0.545455	0.296296	0.184211	0.127273	0.122449	0.205882
R01154(r)/2.3.1D3(rev)/2.3.1.57;	4-asa/2.3.1D3(rev);	0.282869	1	0.857143	0.545455	0.296296	0.184211	0.127273	0.122449	0.205882
R09256/2.3.1F1/;	4-asa/2.3.1D3;	0.28125	1	0.75	0.407407	0.30303	0.27907	0.2	0.171875	0.15
R02385(r)/2.3.1F1(rev)/2.3.1.110;	4-asa/2.3.1D3(rev);	0.281167	1	0.75	0.538462	0.342857	0.26	0.24	0.170732	0.135802
R01944/2.3.1F1/2.3.1.138;	4-asa/2.3.1D3;	0.28	1	0.75	0.407407	0.30303	0.27907	0.2	0.184615	0.140625
R09257/2.3.1F1/;	4-asa/2.3.1D3;	0.278287	1	0.75	0.407407	0.30303	0.27907	0.2	0.184615	0.136364
R04050/2.3.1D4/2.3.1.114;	4-asa/2.3.1D3;	0.277955	0.666667	0.6	0.384615	0.294118	0.25	0.215385	0.203125	0.22449
R04050/2.3.1D4/2.3.1.114;	4-asa/2.3.1D3;	0.277955	0.666667	0.6	0.384615	0.294118	0.25	0.215385	0.203125	0.22449
R02385(r)/2.3.1F1(rev)/2.3.1.110;	4-asa/2.3.1D3(rev);	0.277778	1	0.75	0.538462	0.342857	0.26	0.24	0.156627	0.135802
R02385(r)/2.3.1F1(rev)/2.3.1.110;	4-asa/2.3.1D3(rev);	0.277778	1	0.75	0.538462	0.342857	0.26	0.24	0.156627	0.135802
R02191(r)/2.3.1D3(rev)/2.3.1.36;	4-asa/2.3.1D3(rev);	0.276265	1	0.75	0.428571	0.25	0.189189	0.12963	0.130435	0.21875
R02191/2.3.1D3/2.3.1.36;	4-asa/2.3.1D3;	0.276265	1	0.75	0.428571	0.25	0.189189	0.12963	0.130435	0.21875
R00989/2.3.1D4/2.3.1.113;	4-asa/2.3.1D3;	0.275316	0.666667	0.6	0.384615	0.277778	0.235294	0.21875	0.206349	0.22449
R11479(r)/2.3.1D3(rev)/;	4-asa/2.3.1D3(rev);	0.275194	1	0.857143	0.545455	0.258065	0.175	0.127273	0.115385	0.21875
R11479/2.3.1D3/;	4-asa/2.3.1D3;	0.275194	1	0.857143	0.545455	0.258065	0.175	0.127273	0.115385	0.21875
R02452/2.3.1F1/2.3.1.71;	4-asa/2.3.1D3;	0.274096	1	0.666667	0.354839	0.27027	0.234043	0.208955	0.181818	0.166667
R09528/2.3.1F1/2.3.1.196;	4-asa/2.3.1D3;	0.270677	0.714286	0.578947	0.314286	0.282609	0.288136	0.320513	0.15	0.132353
R09528/2.3.1F1/2.3.1.196;	4-asa/2.3.1D3;	0.270677	0.714286	0.578947	0.314286	0.282609	0.288136	0.320513	0.15	0.132353
R01944(r)/2.3.1D3(rev)/2.3.1.138;	4-asa/2.3.1D3(rev);	0.270115	1	1	0.652174	0.323529	0.229167	0.183099	0.133333	0.112676
R10473(r)/2.3.1F1(rev)/2.3.1.224;	4-asa/2.3.1D3;	0.268987	0.714286	0.5	0.272727	0.305556	0.333333	0.31746	0.1	0.0888889
R10473(r)/2.3.1F1(rev)/2.3.1.224;	4-asa/2.3.1D3;	0.268987	0.714286	0.5	0.272727	0.305556	0.333333	0.31746	0.1	0.0888889
R10473/2.3.1F1/2.3.1.224;	4-asa/2.3.1D3(rev);	0.268987	0.714286	0.5	0.272727	0.305556	0.333333	0.31746	0.1	0.0888889
