reaction_id	rxn	substrates_products	ec
MNXR174134	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1.CC(=O)N[C@H]1[C@H](OC[C@H]2O[C@H](O[*])[C@H](NC(C)=O)[C@@H](O[C@@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@H]2O)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)[C@@H]1O>>O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1.CC(=O)N[C@H]1[C@H](O[*])O[C@H](CO)[C@@H](O)[C@@H]1O	MNXM1102128.MNXM491698>>MNXM1104754.MNXM507072	2.4.1.38
MNXR188525	O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1.O=P([O-])([O-])O>>O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]3O)c2[nH]1.[H]O[H]	MNXM1103769.MNXM9>>MNXM1104385.WATER	3.1.3.5
MNXR107411	O=P([O-])([O-])OP(=O)([O-])O.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccccc1>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS.O=C([O-])/C=C/c1ccccc1	MNXM11.MNXM728294.MNXM987>>MNXM3.MNXM727276.MNXM736095	6.2.1|6.2.1.-|6.2.1.12
MNXR112952	O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O.[H+].O=c1cc(-c2ccccc2)oc2cc([O-])c(O)c(O)c12>>O=C([O-])[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O.[H]O[H]	MNXM1105765.MNXM1.MNXM2501>>MNXM733020.WATER	3.2.1.167
MNXR107237	O=S(=O)([O-])S.[H+].O=S(=O)([O-])[O-]>>O=S(=O)([O-])SS(=O)(=O)[O-].[H]O[H]	MNXM1094289.MNXM1.MNXM58>>MNXM1871.WATER	3.12.1.1
MNXR116013	C[C@H](O)CO.NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1>>[H+].C[C@H](O)C=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	MNXM1255.MNXM5>>MNXM1.MNXM732880.MNXM738702	1.1.1.21|1.1.1.55
MNXR188235	Cc1ncc(COP(=O)([O-])[O-])c(N)n1.[H+].Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O>>Cc1ncc(CO)c(N)n1.Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	MNXM1104391.MNXM1.MNXM40333>>MNXM1104899.MNXM3	2.7.1.49
MNXR186311	O=C([O-])C1=C[C@H](O)[C@H](O)C(O)O1>>[*]O[C@@H]1OC(C(=O)[O-])=C[C@H](O)[C@@H]1O	MNXM147828>>MNXM507015	4.2.2.26
MNXR176619	[H+].O=O.NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)OC)c3n1[Mg]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.C=CC1=C(C)C2=N/C1=C\c1c(C)c3c4n1[Mg]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\4[C@@H](C(=O)OC)C3=O)C(CCC(=O)[O-])=C1C.[H]O[H]	MNXM1.MNXM735438.MNXM738702.MNXM741291>>MNXM5.MNXM741308.WATER	1.14.13.81
MNXR193267	CC[C@H](C)CC[C@@H](O)CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[*])C([*])=O>>CC[C@H](C)CC/C=C/C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OC[C@H](N[*])C([*])=O.[H]O[H]	MNXM1133873>>MNXM1133920.WATER	4.2.1.59
